"","country","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.121"," 1.166"," 1.254"," 1.340"," 1.423"," 1.502"," 1.578"," 1.651"," 1.719"," 1.784"," 1.846"," 1.906"," 1.964"," 2.021"," 2.077"," 2.117"," 2.138"," 2.178"," 2.270"," 2.402"," 2.530"," 2.608"," 2.602"," 2.494"," 2.285"," 2.062"," 1.860"," 1.524"," 0.907"," 0.040","-0.959","-1.919","-2.613","-2.834","-2.508","-1.887","-1.204","-0.260"," 1.181"," 2.978"," 4.913"," 6.613"," 7.495"," 7.281"," 6.234"," 4.858"," 3.615"," 2.839"," 2.706"," 3.158"," 3.873"," 4.486"," 4.769"," 4.643"," 4.170"," 3.550"," 2.992"," 2.634"," 2.541"," 2.691"," 2.954"," 3.184"," 3.294"," 3.249"," 3.063"," 2.816",NA,NA
"2","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.995"," 2.023"," 2.078"," 2.129"," 2.176"," 2.220"," 2.260"," 2.298"," 2.333"," 2.366"," 2.396"," 2.424"," 2.450"," 2.474"," 2.495"," 2.516"," 2.536"," 2.554"," 2.567"," 2.577"," 2.585"," 2.593"," 2.607"," 2.632"," 2.666"," 2.703"," 2.736"," 2.764"," 2.787"," 2.804"," 2.816"," 2.825"," 2.829"," 2.827"," 2.820"," 2.808"," 2.794"," 2.776"," 2.751"," 2.721"," 2.689"," 2.659"," 2.627"," 2.591"," 2.554"," 2.518"," 2.485"," 2.459"," 2.445"," 2.442"," 2.445"," 2.450"," 2.457"," 2.467"," 2.480"," 2.493"," 2.505"," 2.519"," 2.536"," 2.556"," 2.576"," 2.592"," 2.599"," 2.594"," 2.576"," 2.552",NA,NA
"3","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.907"," 2.052"," 2.300"," 2.475"," 2.597"," 2.682"," 2.746"," 2.803"," 2.861"," 2.921"," 2.976"," 3.012"," 3.011"," 2.959"," 2.865"," 2.749"," 2.634"," 2.537"," 2.464"," 2.416"," 2.380"," 2.345"," 2.307"," 2.269"," 2.231"," 2.196"," 2.164"," 2.135"," 2.108"," 2.083"," 2.034"," 1.958"," 1.924"," 1.991"," 2.138"," 2.346"," 2.539"," 2.502"," 2.076"," 1.303"," 0.334","-0.627","-1.328","-1.567","-1.316","-0.776","-0.221"," 0.186"," 0.363"," 0.293"," 0.110","-0.047","-0.183","-0.342","-0.514","-0.706","-0.906","-1.037","-1.024","-0.862","-0.611","-0.350","-0.131"," 0.013"," 0.075"," 0.095",NA,NA
"4","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.872"," 1.903"," 1.982"," 2.088"," 2.206"," 2.320"," 2.416"," 2.484"," 2.517"," 2.518"," 2.498"," 2.478"," 2.481"," 2.526"," 2.608"," 2.708"," 2.800"," 2.860"," 2.875"," 2.848"," 2.803"," 2.764"," 2.745"," 2.752"," 2.783"," 2.821"," 2.853"," 2.888"," 2.938"," 2.998"," 3.057"," 3.103"," 3.121"," 3.105"," 3.055"," 2.986"," 2.909"," 2.824"," 2.725"," 2.616"," 2.503"," 2.390"," 2.267"," 2.127"," 1.972"," 1.816"," 1.671"," 1.547"," 1.449"," 1.378"," 1.326"," 1.284"," 1.268"," 1.290"," 1.347"," 1.422"," 1.497"," 1.578"," 1.671"," 1.771"," 1.873"," 1.966"," 2.021"," 2.018"," 1.960"," 1.873",NA,NA
"5","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2.418"," 2.430"," 2.421"," 2.354"," 2.255"," 2.144"," 2.040"," 1.959"," 1.912"," 1.900"," 1.916"," 1.937"," 1.938"," 1.900"," 1.830"," 1.745"," 1.678"," 1.668"," 1.744"," 1.899"," 2.098"," 2.296"," 2.469"," 2.605"," 2.705"," 2.776"," 2.837"," 2.920"," 3.045"," 3.201"," 3.373"," 3.525"," 3.584"," 3.502"," 3.299"," 3.038"," 2.792"," 2.643"," 2.643"," 2.777"," 2.980"," 3.171"," 3.277"," 3.257"," 3.128"," 2.949"," 2.794"," 2.724"," 2.774"," 2.933"," 3.139"," 3.329"," 3.469"," 3.550"," 3.575"," 3.571"," 3.565"," 3.564"," 3.565"," 3.568"," 3.570"," 3.565"," 3.546"," 3.509"," 3.457"," 3.398",NA,NA
"6","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 4.357"," 3.840"," 2.909"," 2.162"," 1.570"," 1.147"," 0.882"," 0.763"," 0.814"," 1.002"," 1.283"," 1.605"," 1.879"," 2.040"," 2.089"," 2.085"," 2.078"," 2.049"," 1.973"," 1.854"," 1.699"," 1.525"," 1.358"," 1.215"," 1.089"," 0.983"," 0.876"," 0.714"," 0.446"," 0.080","-0.315","-0.681","-0.986","-1.203","-1.313","-1.373","-1.408","-1.289","-0.906","-0.271"," 0.508"," 1.281"," 1.917"," 2.349"," 2.565"," 2.654"," 2.723"," 2.717"," 2.565"," 2.284"," 1.933"," 1.579"," 1.297"," 1.141"," 1.110"," 1.145"," 1.178"," 1.191"," 1.189"," 1.167"," 1.129"," 1.105"," 1.088"," 1.072"," 1.061"," 1.045",NA,NA
"7","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2.059"," 2.044"," 2.007"," 1.956"," 1.898"," 1.838"," 1.779"," 1.726"," 1.681"," 1.646"," 1.619"," 1.596"," 1.571"," 1.541"," 1.507"," 1.470"," 1.435"," 1.423"," 1.448"," 1.507"," 1.585"," 1.661"," 1.708"," 1.709"," 1.665"," 1.598"," 1.533"," 1.489"," 1.477"," 1.495"," 1.528"," 1.555"," 1.572"," 1.573"," 1.561"," 1.541"," 1.519"," 1.498"," 1.474"," 1.448"," 1.421"," 1.394"," 1.363"," 1.324"," 1.279"," 1.231"," 1.185"," 1.147"," 1.123"," 1.113"," 1.111"," 1.110"," 1.106"," 1.096"," 1.080"," 1.060"," 1.042"," 1.030"," 1.027"," 1.031"," 1.040"," 1.048"," 1.049"," 1.040"," 1.021"," 0.997",NA,NA
"8","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2.074"," 2.337"," 2.799"," 3.139"," 3.376"," 3.528"," 3.614"," 3.649"," 3.648"," 3.618"," 3.564"," 3.488"," 3.387"," 3.262"," 3.119"," 2.965"," 2.809"," 2.676"," 2.579"," 2.516"," 2.471"," 2.424"," 2.360"," 2.273"," 2.164"," 2.046"," 1.932"," 1.832"," 1.748"," 1.679"," 1.597"," 1.493"," 1.417"," 1.419"," 1.481"," 1.597"," 1.709"," 1.630"," 1.210"," 0.476","-0.443","-1.366","-2.070","-2.366","-2.215","-1.790","-1.327","-0.948","-0.708","-0.633","-0.625","-0.585","-0.541","-0.552","-0.609","-0.707","-0.815","-0.857","-0.764","-0.534","-0.226"," 0.080"," 0.311"," 0.420"," 0.403"," 0.319",NA,NA
"9","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.521"," 1.163"," 2.399"," 3.465"," 4.266"," 4.762"," 4.916"," 4.737"," 4.260"," 3.548"," 2.693"," 1.824"," 1.121"," 0.713"," 0.583"," 0.595"," 0.602"," 0.578"," 0.575"," 0.576"," 0.604"," 0.653"," 0.671"," 0.572"," 0.342"," 0.048","-0.240","-0.400","-0.321","-0.006"," 0.487"," 1.029"," 1.331"," 1.201"," 0.659","-0.153","-0.956","-1.265","-0.652"," 0.868"," 2.858"," 4.671"," 5.754"," 5.847"," 5.121"," 4.067"," 3.094"," 2.392"," 2.037"," 2.008"," 2.140"," 2.227"," 2.169"," 1.933"," 1.530"," 1.050"," 0.591"," 0.258"," 0.115"," 0.156"," 0.295"," 0.445"," 0.553"," 0.590"," 0.556"," 0.492",NA,NA
"10","Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2.147"," 2.061"," 1.925"," 1.850"," 1.821"," 1.826"," 1.851"," 1.885"," 1.921"," 1.954"," 1.986"," 2.023"," 2.075"," 2.149"," 2.240"," 2.336"," 2.422"," 2.477"," 2.489"," 2.459"," 2.409"," 2.359"," 2.305"," 2.240"," 2.170"," 2.095"," 2.023"," 1.967"," 1.938"," 1.935"," 1.943"," 1.947"," 1.954"," 1.972"," 1.996"," 2.024"," 2.047"," 2.044"," 2.000"," 1.916"," 1.814"," 1.713"," 1.624"," 1.549"," 1.491"," 1.441"," 1.392"," 1.347"," 1.312"," 1.284"," 1.263"," 1.244"," 1.226"," 1.208"," 1.189"," 1.170"," 1.151"," 1.135"," 1.120"," 1.106"," 1.094"," 1.080"," 1.063"," 1.040"," 1.011"," 0.980",NA,NA
"11","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2.836"," 2.642"," 2.347"," 2.213"," 2.186"," 2.215"," 2.255"," 2.271"," 2.237"," 2.148"," 2.027"," 1.916"," 1.874"," 1.942"," 2.108"," 2.321"," 2.514"," 2.601"," 2.525"," 2.302"," 2.011"," 1.737"," 1.514"," 1.355"," 1.262"," 1.203"," 1.147"," 1.112"," 1.122"," 1.174"," 1.246"," 1.320"," 1.392"," 1.462"," 1.524"," 1.585"," 1.642"," 1.665"," 1.626"," 1.531"," 1.408"," 1.288"," 1.189"," 1.122"," 1.088"," 1.076"," 1.070"," 1.065"," 1.062"," 1.062"," 1.061"," 1.062"," 1.100"," 1.200"," 1.357"," 1.543"," 1.719"," 1.835"," 1.857"," 1.789"," 1.675"," 1.562"," 1.470"," 1.410"," 1.382"," 1.368",NA,NA
